name,province_id
SEYHAN,1
CEYHAN,1
FEKE,1
KARAİSALI,1
KARATAŞ,1
KOZAN,1
POZANTI,1
SAİMBEYLİ,1
TUFANBEYLİ,1
YUMURTALIK,1
YÜREĞİR,1
ALADAĞ,1
İMAMOĞLU,1
SARIÇAM,1
ÇUKUROVA,1
MERKEZ,5
GÖYNÜCEK,5
GÜMÜŞHACIKÖY,5
MERZİFON,5
SULUOVA,5
TAŞOVA,5
HAMAMÖZÜ,5
BOZDOĞAN,9
ÇİNE,9
GERMENCİK,9
KARACASU,9
KOÇARLI,9
KUŞADASI,9
KUYUCAK,9
NAZİLLİ,9
SÖKE,9
SULTANHİSAR,9
YENİPAZAR,9
BUHARKENT,9
İNCİRLİOVA,9
KARPUZLU,9
KÖŞK,9
DİDİM,9
EFELER,9
ADİLCEVAZ,13
AHLAT,13
MERKEZ,13
HİZAN,13
MUTKİ,13
TATVAN,13
GÜROYMAK,13
AYVACIK,17
BAYRAMİÇ,17
BİGA,17
BOZCAADA,17
ÇAN,17
MERKEZ,17
ECEABAT,17
EZİNE,17
GELİBOLU,17
GÖKÇEADA,17
LAPSEKİ,17
YENİCE,17
BİSMİL,21
ÇERMİK,21
ÇINAR,21
ÇÜNGÜŞ,21
DİCLE,21
ERGANİ,21
HANİ,21
HAZRO,21
KULP,21
LİCE,21
SİLVAN,21
EĞİL,21
KOCAKÖY,21
BAĞLAR,21
KAYAPINAR,21
SUR,21
YENİŞEHİR,21
AŞKALE,25
ÇAT,25
HINIS,25
HORASAN,25
İSPİR,25
KARAYAZI,25
NARMAN,25
OLTU,25
OLUR,25
PASİNLER,25
ŞENKAYA,25
TEKMAN,25
TORTUM,25
KARAÇOBAN,25
UZUNDERE,25
PAZARYOLU,25
AZİZİYE,25
KÖPRÜKÖY,25
PALANDÖKEN,25
YAKUTİYE,25
MERKEZ,29
KELKİT,29
ŞİRAN,29
TORUL,29
KÖSE,29
KÜRTÜN,29
ANAMUR,33
ERDEMLİ,33
GÜLNAR,33
MUT,33
SİLİFKE,33
TARSUS,33
AYDINCIK,33
BOZYAZI,33
ÇAMLIYAYLA,33
AKDENİZ,33
MEZİTLİ,33
TOROSLAR,33
